flyer_name,product_name,unit_promo_price,uom,least_unit_for_promo,save_per_unit,discount,organic
week_10_page_1,Deli case meal deals,,,1.0,,,0
week_10_page_1,Organic Red & Green Seedless Grapes,24.0,"glutathione, grapes can",1.0,1.0,0.0033444816053511705,1
week_10_page_1,4 lb. Bag of Organic Navel Oranges or 4 lb. Bag of Organic Lemons,5.0,,1.0,3.5,0.0008769731896767727,0
week_10_page_1,Whole Chicken,1.29,,1.0,1.3,0.01007751937984496,0
week_10_page_1,Blueberries,26.0,half pint,2.0,1.49,,0
week_10_page_1,Natural Hamburger & Hot Dog Buns,,,1.0,,,0
week_10_page_1,Organic Gala Apples,3.99,3 lb. bag,1.0,3.0,0.0075187969924812035,1
week_10_page_1,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_10_page_1,Ground Sirloin or Round,,,1.0,,,0
week_10_page_2,Ground Sirloin or Round,,,1.0,,,0
week_10_page_2,Flour,,,1.0,,,0
week_10_page_2,Spring & Distilled Water,,,1.0,,,0
week_10_page_2,"Cleanses, Fibre Support, & Skinny Gut Shakes",,,1.0,,,0
week_10_page_2,Rustic Red Cheddar,,,5.0,2.2,,0
week_10_page_2,Clawhammer,0.08,,1.0,0.5,,0
week_10_page_2,Fresh Hop,,,1.0,,,0
week_10_page_2,"Sport Plan-Based Protein, Raw Fit, & Raw Meal",,,1.0,,,0
week_10_page_2,Ultimate Flora,,,1.0,,,0
week_10_page_2,Day Boat Sea Scallops,,,1.0,,,0
week_10_page_2,Gluten-Free Oats,,,1.0,,,0
week_10_page_2,All Day Session IPA,26.0,,2.0,1.99,,0
week_10_page_2,Gluten-Free Oats,,,1.0,,,0
week_10_page_2,All Organic Juices & Smoothies,,,1.0,,,0
week_10_page_2,Pumpkin Down & Sculpin,,,1.0,,,0
week_10_page_2,Oktoberfest & Pale Ale,6999.49,6 pack,1.0,1.0,0.001001001001001001,0
week_10_page_2,Maple Caramel Cake,,4 inch,1.0,1.0,,0
week_10_page_2,Tomatoes on the Vine,,,1.0,,,0
week_10_page_2,Fruit Galettes,7.99,,1.0,1.0,0.0012515644555694619,0
week_10_page_2,Hummus,,,1.0,,,0
week_10_page_2,New York Strips,,,1.0,,,0
week_10_page_2,Oven Roasted Turkey Breast,,,2.0,5.0,,0
week_10_page_2,Egg Rolls & Spring Rolls,,,2.0,5.62,,0
week_10_page_2,Bone-In Pork Chops,,,1.0,,,0
week_10_page_2,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_10_page_2,5-pack cookies,4.99,,1.0,1.3,0.0026052104208416837,0
week_10_page_2,Oven Roasted Turkey Breast,,,1.0,,,0
week_10_page_2,Oktoberfest & Pale Ale,,,1.0,,,0
week_10_page_3,Juice,,,1.0,,,0
week_10_page_3,Organic Cleaners,3.99,32 fl oz,1.0,1.5,,1
week_10_page_3,Ground Sirloin or Round,5.0,,1.0,,,0
week_10_page_3,Organic Gluten-Free Crispy Rice Bars,2.99,,1.0,,,1
week_10_page_3,Orange & Grapefruit Juices,3.99,,1.0,,,0
week_10_page_3,Tortilla Chips,251131.29,,1.0,2.0,,0
week_10_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_10_page_3,Ground Sirloin or Round,,,1.0,,,0
week_10_page_3,Organic Ready-to-Eat Rice,25.0,,2.0,0.99,,1
week_10_page_3,10-Pack Mini Cookies,,net wt 10 oz,1.0,,,0
week_10_page_3,Organic strawberries,,,1.0,,,1
week_10_page_3,Organic strawberries,,,1.0,,,1
week_10_page_3,Frozen Fries,,,1.0,,,0
week_10_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_10_page_3,Baby Back Ribs,,,1.0,,,0
week_10_page_3,Lentil Chips,27.98,,2.0,13.99,,0
week_10_page_3,Whole Ribeyes & Strips,,,1.0,,,0
week_10_page_3,Kombucha,27.98,,2.0,13.99,,0
week_10_page_3,Frozen Fruit,,,1.0,39.91,,1
week_10_page_3,Organic Frozen Thin Crust Pizzas,,,1.0,,,0
week_10_page_3,Salted Butter,,,1.0,,,0
week_10_page_3,Yellowfin Tuna Steaks,,,1.0,,,0
week_10_page_3,Organic Pink Lady Apples,,,1.0,,,0
week_10_page_3,"Organic Pasta, Rice, & Quinoa",,,1.0,,0.25,1
week_10_page_3,Yoghurt,24.0,,2.0,0.49,,0
week_10_page_3,Pollinator friendly almond butter,7.99,,1.0,1.0,,0
week_10_page_3,Organic Blueberry Almond Granola,,,1.0,,,0
week_10_page_3,Organic strawberries,,,1.0,,,1
week_10_page_4,House-Made Grill-Ready Burgers,,,1.0,,,0
week_10_page_4,Ground Sirloin or Round,,,1.0,,,0
week_10_page_4,Southern Peaches,,,1.0,,,0
week_10_page_4,Alaska Cod Cakes,4.1,,4.0,1.49,,0
week_10_page_4,Ground Sirloin or Round,,,1.0,,,0
week_10_page_4,Seasoned Half Chickens,1.99,,1.0,1.0,0.005025125628140704,0
week_10_page_4,Coconut Shrimp Ring with Mango Sauce,7.99,,1.0,2.0,,0
week_10_page_4,Filet Mignon,,,1.0,3.0,,0
week_10_page_4,Porterhouse Steaks,11.99,,1.0,3.0,0.0002501876407305479,0
week_10_page_4,Tomatoes on the Vine,1.5,,1.0,1.0,,1
week_10_page_4,Organic strawberries,,,1.0,,,1
week_10_page_4,organic Cucumbers,55.0,,5.0,1.29,,1
week_10_page_4,Watermelon Quarters,0.07,,1.0,0.5,,0
week_10_page_4,Nectarines,,,1.0,,,0
