,flyer_name,text
0,week_10_page_1,WE LONGE
1,week_10_page_1,"EARTH 
FAREO- WITH -MEYER NATOHUMANELY HANDLED 
INDEPENDENTLY VERIFIED
Robert E. MezceSales Valid Wed. September 6 - Tues. September 12RAL FOOT"
2,week_10_page_1,"Made with Cage-Free Eggs. Free of Artificial 
Colors, and Bleached or Bromated Flour.
See your Earth Fare bakery team to order!CELEBRATE IN STYLE
Custom Cakes Made With 
100% Clean Ingredients."
3,week_10_page_1,EST 1975
4,week_10_page_1,"HEALTHY REWARDS 
OFFER WITH CARD 
$399 
SAVE $3 
New Crop 
Organic
FLOW 
Gala Apples
PRICE!
VivaTIERRA
ORGANIC 
3 lb. Bag 
Crisp, with a mildly sweet flavor and floral aroma. 
Discount Taken at Register"
5,week_10_page_1,MITEDIME ON
6,week_10_page_1,"SAVE $2.98 on 2 
Blueberries
Half Pint 
A healthy snack-perfect for 
smoothies, added to yogurt, or 
make blueberry pancakes! High
in Vitamin C and antioxidants. 
Discount Taken at Register2/$6HEALTHY REWARDS 
OFFER WITH CARD"
7,week_10_page_1,"ALASKAWild, Natural & Sustainable"
8,week_10_page_1,$999/1b.
9,week_10_page_1,$1099/lb.
10,week_10_page_1,DESCROM
11,week_10_page_1,GRAP
12,week_10_page_1,"HEALTHY REWARDS 
OFFER WITH CARDSAVE $1 on 2 
Organic 
Green Kale 
A nutritional Superfood, kale 
is low in calories, high in fiber, 
iron and vitamins. 
Discount Taken at Register 
Excludes Red & Lacinato2/$4HEALTHY REWARDS 
ORGANIC
OFFER WITH CARD
$299/lb.
SAVE $1/lb.
Organic Red & 
LIFORIY Green Seedless Grapes
""Known to boost an important heart antioxidant known as 
glutathione, grapes can protect against heart failure and high 
blood pressure.”- Angela Hind, M.D. and Wellness Expert
Discount Taken at RegisterORGANIC"
13,week_10_page_1,"HALF 
OFFSIGN UP FOR EMAIL DEALS & MORE AT EARTHFARE.COMFRESHHEALTHY REWARDS 
OFFER WITH CARD
USDA
CHOICE 
$399/1b. 
SAVE $3.50/lb. 
Ground Fresh 3X Daily 
USDA Choice or Better
NON-GMO 
Ground Round
HEALTHY REWARDS 
Never Administered Antibiotics
OFFER WITH CARD 
or Growth Hormones, 100% 
Vegetarian Diet, 3rd Party Certified Humanely Handled, 
Genetically Certified Angus, Traceable from Farm to Fork 
Discount Taken at Register
SAVE $6/lb. 
HEALTHY REWARDS
Fresh, Wild Caught 
OFFER WITH CARD
Alaska Coho
Salmon Fillets 
USDA
100% Traceable and Sustainably
Sourced, All Earth Fare Salmon is 
CHOICE
SAVE $6/lb. non-GMO, Superior Flavor, Great 
USDA Choice or Better
Source of Omega-3 Fatty Acids,
Product of the USA (Alaska) 
NY Strips
Discount Taken at Register 
Never Administered Antibiotics 
or Growth Hormones, 100% Vegetarian Diet, 
3rd Party Certified Humanely Handled, Genetically 
Certified Angus, Traceable from Farm to Fork
HEALTHY REWARDS 
Discount Taken at Register
OFFER WITH CARD 
HEALTHY REWARDS
$ 799/lb. 
OFFER WITH CARD
SAVE $2/1b. 
$999/lb.
Ναρα 
SAVE $5/lb.
Chicken
MADE 
Cooked
Salad 
IN HOUSE
From the Deli 
Tail-On Shrimp
Signature item, made fresh 
31-40 Count
in-house in small batches using 
No Water Additives or Preservatives,
American Humane Certified 
100% Traceable and Sustainably
} chicken that is never administered 
Sourced, Caught with Turtle-Safe Nets
antibiotics or growth hormones. 
Discount Taken at Register
Discount Taken at Register"
14,week_10_page_1,ATURAL FO
15,week_10_page_1,"FOODSHUMANELY HANDLED 
INDEPENDENTLY VERIFIED
Robert E. MeyerMEYER NATI"
16,week_10_page_1,"HEALTHY REWARDS 
OFFER WITH CARD$1 29/lb. 
SAVE $1.30/lb. 
Fresh 
Whole Chickens 
Never Administered Antibiotics or Any 
Added Hormones, 100% Vegetarian Diet, 
3rd Party Certified Humanely Raised 
Discount Taken at Register"
17,week_10_page_1,IFIEricanumanes
